org_id,samp_id,samp_datetime,org_url,org_media_url,org_media_type,org_attached_links,org_text,org_hashtags,org_user_metions,user_id,user_name,user_screen_name,user_verified,user_profile_image_url,user_profile_banner_url,user_profile_background_image_url,user_followers_count,user_friends_count,org_favorite_count,org_quote_count,org_reply_count,org_retweet_count,org_datetime
1346573190940782592,1455770158438354946,2021-11-03T05:33:47.000-07:00,"","","",['https://jobs.lever.co/Uniswap'],🌐 Do you want to help build the future of decentralized finance?||4⃣The Uniswap dev team is hiring for 4 engineering roles!||🦄 Senior Frontend Engineer|🦄 Smart Contract Engineer|🦄 Full Stack Engineer|🦄 Software Engineer Intern||Learn more and apply:|https://t.co/d3IERsnQsE,"","",984188226826010624,Uniswap Labs 🦄,Uniswap,true,http://pbs.twimg.com/profile_images/1242184851152928769/wG2eTAfD_normal.jpg,https://pbs.twimg.com/profile_banners/984188226826010624/1584988310,http://abs.twimg.com/images/themes/theme1/bg.png,689892,90,3666,189,3735,1197,2021-01-05T21:44:01.000-08:00
1381246447501316098,1455777200976711680,2021-11-03T06:01:46.000-07:00,"","","",['https://dotnet.careers/178837-shift-digital-.net-microservices-engineer'],Shift Digital is hiring a .NET Microservices Engineer.||#dotnetcore #aspnet #csharp #azure #kubernetes #jobs||Apply now: https://t.co/fcD0N1lMQr,"['dotnetcore', 'aspnet', 'csharp', 'azure', 'kubernetes', 'jobs']","",1149425974720782336,.NET Careers,dotnet_careers,false,http://pbs.twimg.com/profile_images/1219359916621615104/y_A9z9lj_normal.jpg,https://pbs.twimg.com/profile_banners/1149425974720782336/1564939759,"",3851,5001,18,0,0,252,2021-04-11T14:03:10.000-07:00
1389645389637238796,1455787737378926597,2021-11-03T06:43:38.000-07:00,"","","","","#2. Don't Hire the First Advisor You Meet. Working with a financial advisor is a crucial component of any retirement plan, so most people follow these 7 secrets when hiring one.","","",353838102,SmartAsset,smartasset,true,http://pbs.twimg.com/profile_images/1101592165807984640/YBF7NqKq_normal.png,https://pbs.twimg.com/profile_banners/353838102/1551717383,http://abs.twimg.com/images/themes/theme14/bg.gif,34594,1401,10085,223,1286,1915,2021-05-04T18:17:33.000-07:00
1411731534931968006,1455770789278470146,2021-11-03T05:36:17.000-07:00,https://twitter.com/APTNNews/status/1411731534931968006,['http://pbs.twimg.com/amplify_video_thumb/1411029431917977602/img/KiKA1uFddHhOcTwP.jpg'],['video'],['https://www.aptnnews.ca?p=177378'],"The grounds around the former MacKay Indian Residential School in Dauphin, Man., will soon be searched for unmarked graves.||The Church of Christ owns the building and says it’s hiring a private firm to conduct the search.||See more on this story: https://t.co/qcPNssfwx7 https://t.co/u90y7QS2Tc","","",69343363,APTN News,APTNNews,true,http://pbs.twimg.com/profile_images/781170989635887104/pv9F31vG_normal.jpg,https://pbs.twimg.com/profile_banners/69343363/1635795702,http://abs.twimg.com/images/themes/theme1/bg.png,95030,445,69,6,7,34,2021-07-04T17:00:01.000-07:00
1442663100784779266,1455762183518924803,2021-11-03T05:02:05.000-07:00,https://twitter.com/harrisonjaime/status/1442663100784779266?t=mhbbYMbhe2jv9MHJ7gJpyg&s=19,['http://pbs.twimg.com/media/FAVecbtX0AIXJ_E.jpg'],['photo'],['http://democrats.org/campaign-readiness-project'],We’re training and hiring folks that want to take part in protecting the vote in the midterms in our Campaign Readiness Project: Voter Protection Leadership Bootcamp! Find our more info at https://t.co/qDcm0Iu3bw.||Applications close on October 6! https://t.co/KjrTkjPg7N,"","",73754019,"Jaime Harrison, DNC Chair",harrisonjaime,true,http://pbs.twimg.com/profile_images/1420550208220450818/Dr0mMmb1_normal.jpg,https://pbs.twimg.com/profile_banners/73754019/1608304071,http://abs.twimg.com/images/themes/theme1/bg.png,753171,7615,303,6,12,170,2021-09-28T01:31:01.000-07:00
1445674022969090048,1455789457865592836,2021-11-03T06:50:28.000-07:00,"","","",['https://jobs.soton.ac.uk/Vacancy.aspx?ref=1409121BJ-R'],"We are hiring a postdoc in cell biology||We are investigating new mechanisms of cell division using the mammary epithelium as a powerful mammalian model system||Our team is diverse, talented, and supportive||Come join us||Please RT 🙏||https://t.co/OkHNfk79TY","","",1191757274911522816,Salah Elias,theeliaslab,false,http://pbs.twimg.com/profile_images/1342174608485715969/pm5FDy0w_normal.jpg,https://pbs.twimg.com/profile_banners/1191757274911522816/1604701362,"",615,489,76,3,0,66,2021-10-06T08:55:21.000-07:00
1446436895664214022,1455786318005293057,2021-11-03T06:38:00.000-07:00,"","","","",We've closed the slots for hiring today. Follow us to keep updated with new hiring for scholars which will be coming soon!!! |#AxieScholarship #AxieInfinity #AxieInfinityScholar #AxieScholarships #Axie #AxieScholars #axiescholarworld #AxieScholar #PlayToEarnGame #PlayToEarn,"['AxieScholarship', 'AxieInfinity', 'AxieInfinityScholar', 'AxieScholarships', 'Axie', 'AxieScholars', 'axiescholarworld', 'AxieScholar', 'PlayToEarnGame', 'PlayToEarn']","",1446028888706928641,InfinityFam,InfinityFam2,false,http://pbs.twimg.com/profile_images/1446029789945425921/eWz7y23x_normal.jpg,https://pbs.twimg.com/profile_banners/1446028888706928641/1633595343,"",184,289,36,0,8,13,2021-10-08T11:26:44.000-07:00
1453136956544610305,1455783679620304900,2021-11-03T06:27:31.000-07:00,https://twitter.com/LAUSDHR/status/1453136956544610305/photo/1,['http://pbs.twimg.com/media/FCqUXBWVgAICNfJ.jpg'],['photo'],"","Our colleagues in Classified HR (@lausdjobs) are hosting a special education trainee hiring event tomorrow, 10/27. ||Register ASAP! Link on pic! https://t.co/77XYA4pYkh","",['LAUSDjobs'],1380613897728577539,@LAUSDHR,LAUSDHR,false,http://pbs.twimg.com/profile_images/1380615406231060482/mXHITz-I_normal.jpg,https://pbs.twimg.com/profile_banners/1380613897728577539/1618001900,"",154,267,0,0,0,1,2021-10-26T23:10:23.000-07:00
1453141514536771588,1455765451221323776,2021-11-03T05:15:05.000-07:00,"","","",['https://app.beapplied.com/apply/p9suigw1uc'],"In addition to the four development jobs we’re hiring for, we’re also hiring a Digital Editorial Coordinator and a Campaigns and Partnerships Director! Spread the word and apply! https://t.co/ZrpuFAZ1Ob","","",18009802,elanabaurer,elanabaurer,false,http://pbs.twimg.com/profile_images/3156811483/fc13b01d19c622e7b40eb0fe618e7775_normal.jpeg,https://pbs.twimg.com/profile_banners/18009802/1353528356,http://abs.twimg.com/images/themes/theme1/bg.png,436,979,3,0,0,1,2021-10-26T23:28:29.000-07:00
1453274821698244608,1455784839026823168,2021-11-03T06:32:07.000-07:00,https://twitter.com/RamminaY/status/1453274821698244608/photo/1,['http://pbs.twimg.com/media/FCsRuw8WUAgXoen.jpg'],['photo'],['https://www.yorksandhumberdeanery.nhs.uk/recruitment/future-leaders-recruitment'],"Junior doctor or AHP in Yorkshire?||Y&amp;H Future Leaders Programme now recruiting new fellows.||I did this fellowship 5 years ago, it changed my career &amp; continues to open doors for me even to this day. ||Highly recommend. Apply now!||https://t.co/nyjTbsSNyf||@NHSHEE_NEY https://t.co/qiAFdvaTd4","",['NHSHEE_NEY'],3025378385,Rammina,RamminaY,false,http://pbs.twimg.com/profile_images/762573016882679808/ogyKx-ca_normal.jpg,"",http://abs.twimg.com/images/themes/theme1/bg.png,815,791,16,0,0,12,2021-10-27T08:18:12.000-07:00
